product_id,timestamp,demand_score
P0001,2025-06-21 15:00:07.054912,0.25
P0001,2025-07-08 15:00:07.054993,0.56
P0001,2025-05-18 15:00:07.055016,0.35
P0001,2025-05-20 15:00:07.055035,0.46
P0001,2025-06-01 15:00:07.055054,0.24
P0001,2025-05-12 15:00:07.055086,0.79
P0001,2025-06-19 15:00:07.055107,0.24
P0001,2025-06-13 15:00:07.055129,0.6
P0001,2025-06-27 15:00:07.055152,0.97
P0001,2025-06-22 15:00:07.055173,0.59
P0001,2025-06-08 15:00:07.055191,0.36
P0001,2025-06-23 15:00:07.055210,0.43
P0001,2025-06-07 15:00:07.055228,0.45
P0001,2025-07-05 15:00:07.055246,0.96
P0001,2025-06-10 15:00:07.055264,0.72
P0001,2025-06-08 15:00:07.055281,0.47
P0001,2025-07-05 15:00:07.055299,0.12
P0001,2025-06-15 15:00:07.055317,0.78
P0001,2025-05-30 15:00:07.055336,0.22
P0001,2025-06-27 15:00:07.055482,0.12
P0001,2025-06-08 15:00:07.055510,0.91
P0001,2025-06-14 15:00:07.055528,0.38
P0001,2025-06-27 15:00:07.055548,0.68
P0001,2025-06-11 15:00:07.055569,0.13
P0001,2025-06-05 15:00:07.055588,0.72
P0001,2025-06-01 15:00:07.055610,0.9
P0001,2025-05-16 15:00:07.055628,0.97
P0001,2025-05-27 15:00:07.055646,0.45
P0001,2025-05-15 15:00:07.055663,0.45
P0001,2025-06-19 15:00:07.055681,0.98
P0002,2025-06-13 15:00:07.055702,0.82
P0002,2025-05-19 15:00:07.055721,0.85
P0002,2025-07-03 15:00:07.055739,0.25
P0002,2025-06-13 15:00:07.055757,0.91
P0002,2025-06-13 15:00:07.055776,0.35
P0002,2025-05-30 15:00:07.055794,0.15
P0002,2025-07-02 15:00:07.055812,0.67
P0002,2025-06-24 15:00:07.055830,0.84
P0002,2025-05-23 15:00:07.055848,0.88
P0002,2025-07-11 15:00:07.055866,0.52
P0002,2025-06-16 15:00:07.055884,0.55
P0002,2025-06-12 15:00:07.055902,0.67
P0002,2025-06-30 15:00:07.055921,0.46
P0002,2025-06-07 15:00:07.055938,0.57
P0002,2025-06-06 15:00:07.055956,1.0
