product_id,name,category,base_price,competitor_price
P0001,Product_1,Home,510.27,635.62
P0002,Product_2,Electronics,131.84,711.37
P0003,Product_3,Clothing,785.36,311.87
P0004,Product_4,Books,528.91,916.55
P0005,Product_5,Electronics,761.62,902.23
P0006,Product_6,Clothing,719.77,588.74
P0007,Product_7,Grocery,378.23,261.66
P0008,Product_8,Grocery,922.06,241.04
P0009,Product_9,Books,698.26,565.59
P0010,Product_10,Electronics,762.46,655.9
P0011,Product_11,Electronics,640.44,918.03
P0012,Product_12,Electronics,203.53,351.92
P0013,Product_13,Books,847.67,466.69
P0014,Product_14,Toys,966.53,192.05
P0015,Product_15,Books,288.5,97.83
P0016,Product_16,Toys,341.18,312.06
P0017,Product_17,Books,383.93,185.48
P0018,Product_18,Books,834.11,146.04
P0019,Product_19,Electronics,616.35,119.43
P0020,Product_20,Electronics,701.46,879.89
P0021,Product_21,Books,425.94,183.78
P0022,Product_22,Electronics,546.63,520.18
P0023,Product_23,Books,348.68,456.53
P0024,Product_24,Toys,685.35,1038.8
P0025,Product_25,Electronics,324.82,516.41
P0026,Product_26,Books,931.71,351.39
P0027,Product_27,Books,830.42,683.94
P0028,Product_28,Books,431.32,769.41
P0029,Product_29,Clothing,226.77,483.83
P0030,Product_30,Clothing,686.92,357.39
P0031,Product_31,Toys,534.02,608.91
P0032,Product_32,Clothing,464.25,1016.87
P0033,Product_33,Clothing,544.04,111.41
P0034,Product_34,Toys,220.45,790.79
P0035,Product_35,Electronics,939.7,921.94
P0036,Product_36,Clothing,961.41,322.8
P0037,Product_37,Toys,401.6,136.11
P0038,Product_38,Toys,554.88,601.7
P0039,Product_39,Electronics,113.3,260.89
P0040,Product_40,Home,534.87,230.18
P0041,Product_41,Home,580.29,524.91
P0042,Product_42,Grocery,614.3,747.9
P0043,Product_43,Home,530.36,374.15
P0044,Product_44,Grocery,664.58,1006.07
P0045,Product_45,Grocery,713.91,826.43
P0046,Product_46,Books,145.47,257.19
P0047,Product_47,Books,917.31,144.64
P0048,Product_48,Electronics,427.65,126.04
P0049,Product_49,Toys,145.08,227.93
P0050,Product_50,Books,791.68,739.82
P0051,Product_51,Toys,460.82,655.91
P0052,Product_52,Toys,506.61,224.14
P0053,Product_53,Books,594.54,680.93
P0054,Product_54,Toys,868.76,98.26
P0055,Product_55,Toys,296.67,336.76
P0056,Product_56,Home,929.37,463.73
P0057,Product_57,Grocery,513.47,757.54
P0058,Product_58,Home,525.33,166.0
P0059,Product_59,Clothing,781.0,219.35
P0060,Product_60,Toys,580.72,859.25
P0061,Product_61,Electronics,221.46,849.72
P0062,Product_62,Grocery,482.14,938.64
P0063,Product_63,Toys,749.52,478.27
P0064,Product_64,Toys,308.58,327.7
P0065,Product_65,Clothing,339.57,898.64
P0066,Product_66,Home,450.48,594.92
P0067,Product_67,Grocery,152.63,96.84
P0068,Product_68,Toys,382.72,756.24
P0069,Product_69,Toys,236.44,379.0
P0070,Product_70,Home,522.09,320.93
P0071,Product_71,Grocery,428.12,809.72
P0072,Product_72,Grocery,957.34,1015.82
P0073,Product_73,Electronics,323.12,409.43
P0074,Product_74,Clothing,674.96,199.5
P0075,Product_75,Grocery,916.14,739.3
P0076,Product_76,Grocery,111.39,897.1
P0077,Product_77,Home,190.4,301.19
P0078,Product_78,Home,368.55,968.32
P0079,Product_79,Clothing,354.68,549.22
P0080,Product_80,Grocery,819.69,290.44
P0081,Product_81,Toys,304.03,1044.66
P0082,Product_82,Books,725.01,649.76
P0083,Product_83,Toys,557.89,296.87
P0084,Product_84,Clothing,994.41,958.3
P0085,Product_85,Books,899.36,915.96
P0086,Product_86,Home,946.73,672.6
P0087,Product_87,Home,714.09,795.32
P0088,Product_88,Books,586.99,332.89
P0089,Product_89,Toys,523.53,268.62
P0090,Product_90,Electronics,111.09,194.85
P0091,Product_91,Grocery,811.52,559.54
P0092,Product_92,Grocery,484.3,708.23
P0093,Product_93,Books,440.1,188.81
P0094,Product_94,Grocery,783.92,994.47
P0095,Product_95,Home,549.76,960.79
P0096,Product_96,Grocery,924.41,348.79
P0097,Product_97,Grocery,181.15,451.03
P0098,Product_98,Home,786.62,976.62
P0099,Product_99,Grocery,171.85,425.08
P0100,Product_100,Grocery,262.95,304.62
