order_id,product_id,quantity_sold,order_date
O000001,P0032,8,2025-05-21 15:00:07.046225
O000002,P0044,3,2025-06-20 15:00:07.046243
O000003,P0028,9,2025-06-26 15:00:07.046249
O000004,P0079,4,2025-04-19 15:00:07.046254
O000005,P0054,9,2025-05-03 15:00:07.046258
O000006,P0004,2,2025-06-29 15:00:07.046263
O000007,P0073,4,2025-06-20 15:00:07.046268
O000008,P0089,1,2025-05-29 15:00:07.046273
O000009,P0088,7,2025-06-21 15:00:07.046281
O000010,P0003,4,2025-04-28 15:00:07.046284
O000011,P0073,7,2025-06-12 15:00:07.046287
O000012,P0055,7,2025-07-05 15:00:07.046289
O000013,P0092,4,2025-06-04 15:00:07.046292
O000014,P0013,7,2025-05-10 15:00:07.046294
O000015,P0042,8,2025-05-12 15:00:07.046297
O000016,P0066,8,2025-06-26 15:00:07.046299
O000017,P0015,2,2025-05-01 15:00:07.046302
O000018,P0073,3,2025-05-28 15:00:07.046304
O000019,P0100,7,2025-04-20 15:00:07.046307
O000020,P0048,4,2025-04-21 15:00:07.046309
O000021,P0095,1,2025-04-25 15:00:07.046312
O000022,P0001,5,2025-07-08 15:00:07.046314
O000023,P0082,6,2025-07-11 15:00:07.046317
O000024,P0058,2,2025-07-09 15:00:07.046319
O000025,P0038,5,2025-05-17 15:00:07.046322
O000026,P0054,8,2025-06-16 15:00:07.046324
O000027,P0044,8,2025-07-07 15:00:07.046327
O000028,P0072,3,2025-06-03 15:00:07.046329
O000029,P0066,5,2025-04-30 15:00:07.046332
O000030,P0050,5,2025-05-03 15:00:07.046334
O000031,P0088,6,2025-04-24 15:00:07.046337
O000032,P0081,1,2025-04-20 15:00:07.046339
O000033,P0012,2,2025-05-02 15:00:07.046341
O000034,P0074,2,2025-05-02 15:00:07.046345
O000035,P0034,5,2025-07-06 15:00:07.046347
O000036,P0049,6,2025-04-12 15:00:07.046349
O000037,P0017,6,2025-04-14 15:00:07.046352
O000038,P0008,7,2025-04-21 15:00:07.046354
